address|balance
0xb33c0323fbf9c26c1d8ac44ef74391d0804696da|20.0
0xbe86d0b0438419ceb1a038319237ba5206d72e46|439.3917192910314
0x6671b182c9f741a0cd3c356c73c23126d4f9e6f4|200.0
0xb18e67a5050a1dc9fb190919a33da838ef445014|20.0
0x8d544c32c07fd0842c761d53a897d6c950bb7599|200.0
0x7adfedb06d91f3cc7390450b85550270883c7bb7|322.312
0x2c0f5b9df43625798e7e03c1a5fd6a6d091af82b|31.2
0x23569542c97d566018c907acfcf391d14067e87e|2000.0
0x4a7494cce44855cc80582842be958a0d1c0072ee|2400.0
0x6c6564e5c9c24eaaa744c9c7c968c9e2c9f1fbae|1357.8
0x5b30608c678e1ac464a8994c3b33e5cdf3497112|24.14428438777778
0xe9caf827be9d607915b365c83f0d3b7ea8c79b50|10.922914205
0xf355d3ec0cfb907d8dbb1bf3464e458128190bac|4925.6
0x38c7851f5ffd4cee98df30f3b25597af8a6ca263|2631.92
0x04aafc8ae5ce6f4903c89d7fac9cb19512224777|117.544118
0xbcbd31252ec288f91e298cd812c92160e738331a|37.188319915107954
0xda982e9643ffece723075a40fe776e5ace04b29b|160.884
0x8261fa230c901d43ff579f4780d399f31e6076bc|25.534972796568013
0x64464a6805b462412a901d2db8174b06c22deea6|200.00021228
0xd687cec0059087fdc713d4d2d65e77daefedc15f|60.0
0x6ac4d4be2db0d99da3faaaf7525af282051d6a90|80.185
0x8d5ef172bf77315ea64e85d0061986c794c6f519|3940.0
0x766b3759e8794e926dac473d913a8fb61ad0c2c9|86.5
0x3055efd26029e0d11b930df4f53b162c8c3fd2ce|499.938
0x8e98766524b0cf2747c50dd43b9567594d9731de|47.194999488
0x905526568ac123afc0e84aa715124febe83dc87c|17.9
0x0521bc3a9f8711fecb10f50797d71083e341eb9d|20.0
0x79c130c762b8765b19d2abc9a083ab8f3aad7940|18.994414
0xbcc9593b2da6df6a34d71b1aa38dacf876f95b88|20.0
0xc80b36d1beafba5fcc644d60ac6e46ed2927e7dc|13.37
0x5bd23547477f6d09d7b2a005c5ee650c510c56d7|10000.0
0xbfcb9730246304700da90b4153e71141622e1c41|25.053287201058772
0xc33acdb3ba1aab27507b86b15d67faf91ecf6293|2000.0
0x9c9de44724a4054da0eaa605abcc802668778bea|200.02
0xffa696ecbd787e66abae4fe87b635f07ca57d848|1337.0
0x3e0cbe6a6dcb61f110c45ba2aa361d7fcad3da73|1000.9886997964672
0xb9013c51bd078a098fae05bf2ace0849c6be17a5|80.0
0x10df681506e34930ac7a5c67a54c3e89ce92b981|2153.8
0x2c5a2d0abda03bbe215781b4ff296c8c61bdbaf6|30.617
0x66b39837cb3cac8a802afe3f12a258bbca62dacd|99.994993285
0x9aba2b5e27ff78baaab5cdc988b7be855cebbdce|7986.99496
0xc32ec7e42ad16ce3e2555ad4c54306eda0b26758|1101.46665605
0x9b7c8810cc7cc89e804e6d3e38121850472877fe|49.9553999585
0x2c0cc3f951482cc8a2925815684eb9f94e060200|109.90935864097816
0x86026cad3fe4ea1ce7fca260d3d45eb09ea6a364|200.0
0x796ebbf49b3e36d67694ad79f8ff36767ac6fab0|60.8
0x69bcfc1d43b4ba19de7b274bdffb35139412d3d7|985.0
0xd22f0ca4cd479e661775053bcc49e390f670dd8a|1000.0
0x42d6b263d9e9f4116c411424fc9955783c763030|2000.0
0xb8040536958d5998ce4bec0cfc9c2204989848e9|24472.42001
0x63bb664f9117037628594da7e3c5089fd618b5b5|20.0
0x51e43fe0d25c782860af81ea89dd793c13f0cbb1|60.0
0xe3ec18a74ed43855409a26ade7830de8e42685ef|19.7
0x0f832a93df9d7f74cd0fb8546b7198bf5377d925|140.59888253780107
0x0989c200440b878991b69d6095dfe69e33a22e70|1910.0
0x7cd20eccb518b60cab095b720f571570caaa447e|500.0
0x4979194ec9e97db9bee8343b7c77d9d7f3f1dc9f|20.0
0x68df947c495bebaeb8e889b3f953d533874bf106|52.07624737
0xeee9d0526eda01e43116a395322dda8970578f39|507.94630254011827
0x8431277d7bdd10457dc017408c8dbbbd414a8df3|39.4
0x7a7a4f807357a4bbe68e1aa806393210c411ccb3|8889.640734980756
0xea1ea0c599afb9cd36caacbbb52b5bbb97597377|24.52260526655635
0xebb7d2e11bc6b58f0a8d45c2f6de3010570ac891|26.74
0x404100db4c5d0eec557823b58343758bcc2c8083|20.0
0xbfa8c858df102cb12421008b0a31c4c7190ad560|200.0
0x17f14632a7e2820be6e8f6df823558283dadab2d|185.3858197151105
0xd4b2ff3bae1993ffea4d3b180231da439f7502a2|10.99138961673995
0x0770b43dbae4b1f35a927b4fa8124d3866caf97b|1016.39
0xb0b36af9aeeedf97b6b02280f114f13984ea3260|129.9894664
0x6a7b2e0d88867ff15d207c222bebf94fa6ce8397|20000.402518
0xbeb4fd315559436045dcb99d49dcec03f40c42dc|2999.9990000000003
0xba42f9aace4c184504abf5425762aca26f71fbdc|37.4
0x0da7401262384e2e8b4b26dd154799b55145efa0|300.0
0xbb0366a7cfbd3445a70db7fe5ae34885754fd468|599.99895
0xd79483f6a8444f2549d611afe02c432d15e11051|20.0
0x943d37864a4a537d35c8d99723cd6406ce2562e6|116.95642764314366
0x2866b81decb02ee70ae250cee5cdc77b59d7b679|2000.0
0xe77d7deab296c8b4fa07ca3be184163d5a6d606c|92.538
0xf8ca336c8e91bd20e314c20b2dd4608b9c8b9459|711.65780881
0x46779a5656ff00d73eac3ad0c38b6c853094fb40|230.752
0x02e816afc1b5c0f39852131959d946eb3b07b5ad|257.0146149587155
0xc7b39b060451000ca1049ba154bcfa00ff8af262|11.312668086350529
0x7bddb2ee98de19ee4c91f661ee8e67a91d054b97|1000.0
0xb02d062873334545cea29218e4057760590f7423|2000.0
0x0505a08e22a109015a22f685305354662a5531d5|2600.0
0x17589a6c006a54cad70103123aae0a82135fdeb4|175.8512609261
0x801732a481c380e57ed62d6c29de998af3fa3b13|100.0
0x18fccf62d2c3395453b7587b9e26f5cff9eb7482|16.58454098
0xc5cdcee0e85d117dabbf536a3f4069bf443f54e7|1969.606
